Egendomstyp;Rubrik;Utropspris (kr);Startpris (kr);Utlämningsform;Försäljningsform;Försäljningsort;Försäljningsslut;Betalat belopp (kr);Vill ha frakt
Barnartiklar & Leksaker;Docka och docktillbehör;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Eskilstuna;2020-02-13;375;Ja
Barnartiklar & Leksaker;Leksaker;600,00;30,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Eskilstuna;2020-02-13;650;Ja
Barnartiklar & Leksaker;Leksaker;600,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-02-13;225;Nej
Barnartiklar & Leksaker;Leksaker;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Eskilstuna;2020-02-13;400;Ja
Barnartiklar & Leksaker;Leksaker;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Eskilstuna;2020-02-13;425;Ja
Barnartiklar & Leksaker;Leksaker;600,00;30,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Eskilstuna;2020-02-13;550;Ja
Barnartiklar & Leksaker;Leksaker;600,00;30,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Eskilstuna;2020-02-13;325;Ja
Barnartiklar & Leksaker;Leksaker;600,00;30,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Eskilstuna;2020-02-13;425;Ja
Barnartiklar & Leksaker;Leksaker;600,00;30,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Eskilstuna;2020-02-13;425;Ja
Barnartiklar & Leksaker;Leksaker;600,00;30,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Eskilstuna;2020-02-13;225;Ja
Barnartiklar & Leksaker;Spelkulor;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Eskilstuna;2020-02-13;225;Ja
Barnartiklar & Leksaker;Kullåda med kulor;600,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-02-13;120;Nej
Barnartiklar & Leksaker;Diverse leksaker mm;600,00;30,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Eskilstuna;2020-02-13;500;Ja
Däck & Fälg;4 stycken Aluminiumfälgar Audi;1 000,00;250,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-02-13;250;Nej
Bord & Stolar;Barstolar PS Stool, hög;1 200,00;300,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-02-13;325;Nej
Övrigt (Ljud & Bild);Hörlurar Marshall & Urbanista;600,00;30,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Eskilstuna;2020-02-13;2100;Ja
Övrigt (Ljud & Bild);Hörlurar HappyPlugs&Urbanista ;600,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Eskilstuna;2020-02-13;1100;Ja
Väskor;Handväska märkt Burberry ;2 500,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Eskilstuna;2020-02-13;850;Ja
Belysning;Takkrona med prismor;1 000,00;250,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-02-13;375;Nej
Personbilssläp;IWAB BS-1200;13 000,00;3 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2020-02-13;6800;Nej
Mattor;Matta IKEA;15 000,00;7 400,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;7600;Nej
Övrigt;Parfym märkt Giorgio Armani ;600,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Helsingborg;2020-02-17;300;Ja
Reservdelar (Bil);Filter och drivknutar;1 000,00;500,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Helsingborg;2020-02-17;850;Ja
Kläder & Skor;Kostym och näsduk;5 000,00;2 500,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Helsingborg;2020-02-17;5200;Ja
Kläder & Skor;Kostym märkt Hugo Boss;4 000,00;1 000,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Helsingborg;2020-02-17;1500;Ja
Kläder & Skor;Herrskjorta märkt NN07;800,00;400,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Helsingborg;2020-02-17;475;Ja
Badrum/WC/Bastu; Bastuset;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Helsingborg;2020-02-17;650;Ja
Mattor;Matta;5 000,00;2 500,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;3100;Nej
Övrigt (Musikutrustning & Instrument);2 Skivspelare Rega Planer 3;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;3000;Nej
Studio & Scenutrustning;2 Mikrofoner ADK;600,00;30,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Helsingborg;2020-02-17;2100;Ja
Studio & Scenutrustning;Mixerbord, YAMAHA ;5 000,00;2 500,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;2500;Nej
Övrigt (Musikutrustning & Instrument);Musikutrustning, 8 delar;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;1300;Nej
Studio & Scenutrustning;Mikrofon ADK ;600,00;30,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Helsingborg;2020-02-17;1500;Ja
Damcykel;Damcykel Yosemite;600,00;30,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;550;Nej
Övrigt (Motorcyklar);YAMAHA XJR1300;40 000,00;20 000,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;31000;Nej
Övrigt (Motorcyklar);YAMAHA XV 535;15 000,00;7 400,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;13250;Nej
Personbil;Pontiac Grand Prix;20 000,00;10 000,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;50500;Nej
Personbil;BMW 645i ;60 000,00;30 000,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;48000;Nej
Entreprenadmaskiner;Kompaktlastare Avant ;150 000,00;75 000,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;205000;Nej
Personbil;Peugeot 208 1.2 VTi 5dr;40 000,00;20 000,00;Ska hämtas;Intern Nätauktion;Helsingborg;2020-02-17;49000;Nej
Antikt & Konst;2 Ljusstakar Georg Jensen;1 100,00;550,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;550;Ja
Klockor;Klocka märkt Emporio Armani;1 500,00;750,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Karlstad;2020-02-17;1200;Ja
Klockor;Dykdator märkt Suunto;2 500,00;1 200,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Karlstad;2020-02-17;1500;Ja
Antikt & Konst;Salladsskål Georg Jensen ;1 300,00;650,00;Kan skickas, [Wellåda 1B (320x225x95)];Intern Nätauktion;Karlstad;2020-02-17;900;Ja
Antikt & Konst;Vas Kosta Boda;2 300,00;1 100,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;1700;Nej
Antikt & Konst;Vas Kosta Boda;1 100,00;550,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;1000;Nej
Antikt & Konst;Vas Kosta Boda;2 800,00;1 400,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;1400;Nej
Antikt & Konst;Vas Kosta Boda;2 300,00;1 100,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;1100;Nej
Antikt & Konst;Glasskulptur Ideo ;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;800;Nej
Antikt & Konst;Vas Kosta Boda;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;1600;Nej
Antikt & Konst;Glasvas;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;500;Nej
Antikt & Konst;Glasskulptur Batzeba ;600,00;30,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;450;Nej
Antikt & Konst;Glasskulptur och vas;700,00;300,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;300;Nej
Verktyg;Bockningsverktyg Uponor;8 725,00;2 200,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Karlstad;2020-02-17;2200;Ja
Verktyg;Pressmaskin Uponor ;22 000,00;5 400,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Karlstad;2020-02-17;5600;Ja
Motorcykel Custom;YAMAHA DRAGSTAR XVS1100A;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;20500;Nej
Personbil;Buick Riviera ;125 000,00;63 000,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;63000;Nej
Personbil;Audi S5 Coupe quattro 4.2;105 000,00;52 500,00;Ska hämtas;Intern Nätauktion;Karlstad;2020-02-17;118000;Nej
Smycken;Halsband i silver med stenar;2 100,00;500,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Västerås;2020-02-18;550;Ja
Smycken;Silverhalsband med pärlor;1 800,00;450,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Västerås;2020-02-18;650;Ja
Smycken;Halsband i silver med berlock;800,00;200,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Västerås;2020-02-18;200;Ja
Antikt & Konst;Orrefors kristallskål;600,00;30,00;Ska hämtas;Intern Nätauktion;Västerås;2020-02-18;60;Nej
Antikt & Konst;Porslinskatter;1 200,00;300,00;Ska hämtas;Intern Nätauktion;Västerås;2020-02-18;400;Nej
Personbil;Chrysler PT Cruiser 2.4;14 000,00;7 000,00;Ska hämtas;Intern Nätauktion;Västerås;2020-02-18;8600;Nej
Personbil;Audi A6 Avant 4,2 Quattro;40 000,00;20 000,00;Ska hämtas;Intern Nätauktion;Västerås;2020-02-18;39000;Nej
Personbil;Skoda Fabia Kombi 1.4 Ambiente;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Västerås;2020-02-18;21000;Nej
Husvagn;Husvagn Adria Adora 613 HT;250 000,00;125 000,00;Ska hämtas;Intern Nätauktion;Gävle;2020-02-18;210000;Nej
Fyrhjuling/ATV;Fyrhjuling;5 000,00;2 500,00;Ska hämtas;Intern Nätauktion;Gävle;2020-02-18;4400;Nej
Personbil;JAGUAR X-TYPE 3.0 V6 EXE;18 000,00;9 000,00;Ska hämtas;Intern Nätauktion;Gävle;2020-02-18;15000;Nej
Motorcykel Cross/Enduro;Motocross Orion 37;4 000,00;2 000,00;Ska hämtas;Intern Nätauktion;Gävle;2020-02-18;3000;Nej
TV & Projektor;LED-TV LG ;800,00;400,00;Ska hämtas;Intern Nätauktion;Gävle;2020-02-18;450;Nej
Antikt & Konst;Fat Kosta Boda ;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-02-19;500;Nej
Kläder & Skor;Skor märkta Loake;1 000,00;500,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;1400;Nej
Kläder & Skor;Väska märkt Ralph Lauren;1 200,00;600,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;1000;Nej
Väskor;Väska märkt Peak Performance;300,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;650;Nej
Kläder & Skor;Jacka märkt Stone Island ;3 500,00;1 700,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-02-19;1700;Nej
Golf;Golfset och golfbag ;5 000,00;2 500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-02-19;3500;Nej
Kläder & Skor;Skor märkta Loake;2 000,00;1 000,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;1200;Ja
Kläder & Skor;Svart piké märkt J.Lindeberg;300,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;400;Ja
Kläder & Skor;Piké märkt J.Lindeberg ;300,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;425;Ja
Kläder & Skor;Luvtröja märkt Harley Davidson;500,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;160;Nej
Kläder & Skor;Golfregnbyxor Galvin Gree ;600,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;700;Ja
Kläder & Skor;Navy piké märkt J.Lindeberg ;300,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;475;Ja
Kläder & Skor;Golfshorts märkta Nike;300,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;300;Ja
Kläder & Skor;Skinnjacka Harley Davidsson;2 000,00;1 000,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-02-19;1200;Ja
Kläder & Skor;Jacka märkt Peak Performance ;500,00;30,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;550;Ja
Kläder & Skor;Väst märkt Under Armour;700,00;300,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;600;Ja
Övrigt (MC-delar & tillbehör);Backspeglar Harley Davidsson;800,00;400,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;400;Ja
Väskor;Väska märkt Harley Davidson;600,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;425;Ja
Kläder & Skor;Golfsko Footjoy Pro/SL;500,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-02-19;425;Ja
Klockor;Klocka märkt Brera Orologi ;1 000,00;500,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1000;Ja
Kläder & Skor;Shorts märkta Puma;300,00;30,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;250;Ja
Övrigt;Solglasögon märkta Rayban;500,00;30,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;750;Ja
Övrigt;Solglasögon märkta Rayban ;500,00;30,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;850;Ja
Kläder & Skor;Jacka/kavaj märkt L.B.M. ;500,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;140;Ja
Kläder & Skor;Herrskor Loake 1880 hyde boot;1 000,00;500,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2020-02-19;1200;Ja
Antikt & Konst;Glaskonst Kosta Boda ;1 500,00;750,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-02-19;1000;Nej
Antikt & Konst;Glaskonst Kosta Boda ;1 800,00;900,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-02-19;1200;Nej
Antikt & Konst;Karaff Carolina Gynning ;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-02-19;500;Nej
Antikt & Konst;Ljusstake Orrefors ;600,00;30,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-02-19;300;Nej
Kläder & Skor;Jacka märkt Parajumpers;2 500,00;1 200,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;1300;Nej
Kläder & Skor;Väst märkt Canada Goose;1 500,00;800,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;2200;Ja
Antikt & Konst;Vas Open Minds  ;1 800,00;900,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-02-19;950;Nej
Kläder & Skor;Jacka märkt Canada Goose;2 000,00;1 000,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;2200;Ja
Kläder & Skor;Rock märkt J Lindeberg;2 000,00;1 000,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;1100;Nej
Kläder & Skor;Päls märkt Saga ;2 500,00;1 200,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;13250;Nej
Kläder & Skor;Kappa märkt Guess;1 500,00;800,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;1300;Nej
Kläder & Skor;Jacka märkt Canada Goose;2 000,00;1 000,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;2200;Nej
Kläder & Skor;Pälshalsduk ;1 600,00;800,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;1500;Nej
Kläder & Skor;Jacka märkt Hollies;2 000,00;1 000,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;1000;Ja
Kläder & Skor;Skor märkta Fendi ;1 500,00;700,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;850;Nej
Väskor;Väska märkt Luis Vuitton ;1 500,00;700,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;4800;Ja
Väskor;Väska märkt Hermes;4 000,00;2 000,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;2600;Ja
Kläder & Skor;Kappa märkt Max Mara ;1 500,00;700,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;1300;Nej
Övrigt (Klockor);Solglasögon Dolce Gabbana ;1 600,00;800,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;850;Nej
Kläder & Skor;Kappa märkt Max Mara ;1 500,00;700,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2020-02-19;4600;Nej
Övrigt (Klockor);Solglasögon Celine Paris ;1 500,00;700,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;700;Ja
Smycken;Örhänge och hänglås;1 500,00;700,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;700;Ja
Smycken;Guldarmband 18 karat;15 000,00;11 250,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;15750;Nej
Smycken;Guldring 18 karat;3 000,00;1 600,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2700;Ja
Smycken;Guldring 18 karat;1 300,00;900,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1900;Ja
Smycken;Guldring 18 karat;550,00;350,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;400;Ja
Smycken;Guldhalsband 18 karat;1 200,00;800,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1600;Ja
Smycken;Guldörhängen 18 karat;1 800,00;900,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;3100;Ja
Smycken;Guldarmband 18 karat;25 000,00;20 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-02-19;22000;Ja
Smycken;Halskedja 18 karat;11 300,00;7 400,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;14250;Ja
Klockor;Armbandsur Tag Heuer Carrera;14 000,00;11 000,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;16500;Ja
Klockor;Herrur, Breitling;18 000,00;9 000,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;21500;Nej
Klockor;Tissot V8 Tachymeter;2 000,00;1 000,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1600;Ja
Frimärken & Mynt;Guldmynt årtal 1884 ;3 600,00;2 500,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;4900;Nej
Smycken;Armband 18 karat;3 200,00;2 300,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;3900;Ja
Smycken;Armband 18 karat;1 900,00;1 400,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2500;Ja
Smycken;Sigillring med ofärgad sten;1 400,00;1 000,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;2300;Ja
Smycken;Guldörhängen 14 karat;945,00;700,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1100;Nej
Smycken;Ring 18 karat;240,00;180,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;300;Nej
Smycken;Armband 14 karat;1 890,00;1 400,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1600;Ja
Klockor;Klocka märkt Armani Exchange ;500,00;30,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;550;Nej
Smycken;Halskedjor 18 karat;710,00;350,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1300;Ja
Klockor;Klocka märkt Michael Kors;1 000,00;500,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;1000;Ja
Smycken;Guldringar 18 karat;2 300,00;1 800,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2200;Ja
Smycken;Guldfärgad ring med stenar ;2 500,00;1 900,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2400;Ja
Smycken;Guldörhängen med diamanter;890,00;700,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1300;Ja
Smycken;Kedjering med en diamant;2 200,00;1 700,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;3000;Nej
Smycken;Guldring 18 karat;5 700,00;3 800,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;4900;Ja
Smycken;Guldring 18 karat ;5 500,00;3 700,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;5800;Ja
Smycken;Guldring 23 karat;2 500,00;1 900,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2800;Nej
Smycken;4 diamanter;15 000,00;8 000,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;19000;Nej
Smycken;Halskedja med hänge 18 karat.;40 000,00;18 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-02-19;26000;Nej
Smycken;Guldring ;800,00;500,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;750;Ja
Smycken;Armband och örhängen;3 270,00;2 300,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;4500;Ja
Smycken;Guldarmband med bollar;1 460,00;1 000,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2300;Nej
Smycken;Guldhalsband med namn;2 500,00;1 700,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2800;Nej
Smycken;Guldkedja;2 000,00;1 400,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2600;Ja
Smycken;Guldarmband med cirklar ;1 700,00;1 100,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2100;Ja
Smycken;Guldhalsband;4 300,00;3 000,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;5400;Ja
Smycken;Brett guldarmband ;7 460,00;5 200,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;10250;Ja
Smycken;Guldhalsband ;1 000,00;700,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;3600;Ja
Smycken;Guldring;690,00;400,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1000;Ja
Smycken;Guldhalsband;2 140,00;1 500,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2600;Ja
Smycken;Smyckeset ;9 300,00;6 000,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;11500;Ja
Smycken;Ring med yttre gravyr ;1 500,00;1 000,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1900;Ja
Smycken;Guldarmband;2 170,00;1 500,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2800;Ja
Smycken;Armringar 21 karat;10 000,00;6 600,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;10500;Nej
Smycken;Örhängen 18 karat;1 000,00;700,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1800;Ja
Smycken;Ring 18 karat;725,00;700,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;1000;Ja
Smycken;Örhängen 22 karat;2 200,00;1 600,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;3400;Ja
Smycken;Armringar 22 karat;13 000,00;9 000,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;15000;Ja
Smycken;Örhängen 22 karat;1 730,00;1 200,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2100;Nej
Smycken;Örhängen;2 070,00;1 500,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2500;Ja
Smycken;Hänge 22 karat;2 310,00;1 600,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2900;Ja
Smycken;Guldring med diamanter;1 200,00;600,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2020-02-19;2100;Ja
Smycken;Kejsarlänk 18 karat;91 000,00;65 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2020-02-19;114000;Nej
Foto & Videokameror;Kamerablixt Canon ;2 000,00;1 000,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2020-02-19;1000;Nej
